student_id, age, gender, study_hours_per_day, social_media_hours, netflix_hours, part_time_job, attendance_percentage, sleep_hours, diet_quality, exercise_frequency, parental_education_level, internet_quality, mental_health_rating, extracurricular_participation
S1055, 20, Male, 5.4, 2.8, 3.8, No, 91.8, 6.9, Good, 2, High School, Good, 8, No
S1056, 24, Male, 2.5, 2.0, 0.0, No, 83.9, 5.3, Good, 6, Bachelor, Average, 8, No
S1057, 17, Male, 3.9, 2.4, 1.2, No, 90.7, 7.1, Good, 1, Bachelor, Average, 7, Yes
S1058, 19, Female, 2.2, 5.0, 1.0, No, 78.4, 7.5, Poor, 5, Master, Average, 2, Yes
S1059, 21, Female, 6.7, 2.2, 2.6, No, 84.5, 6.7, Good, 3, Master, Average, 5, Yes
S1060, 19, Female, 1.7, 2.1, 0.6, Yes, 92.1, 7.9, Fair, 1, High School, Average, 4, No
S1061, 23, Male, 4.0, 1.7, 2.6, No, 100.0, 5.0, Fair, 4, Bachelor, Good, 5, No
S1062, 21, Male, 4.5, 3.4, 3.3, Yes, 93.1, 7.1, Good, 6, High School, Good, 10, No
S1063, 17, Male, 4.1, 2.3, 2.6, Yes, 76.5, 5.1, Fair, 3, Bachelor, Average, 9, No
S1064, 23, Male, 3.2, 1.7, 2.1, No, 80.8, 5.2, Good, 3, High School, Poor, 4, Yes
S1065, 18, Female, 3.3, 4.1, 0.7, No, 80.5, 5.7, Poor, 0, Master, Good, 8, No
S1066, 20, Male, 3.6, 4.2, 0.9, No, 67.0, 5.4, Good, 4, Bachelor, Average, 8, No
S1067, 17, Male, 3.3, 1.8, 3.2, No, 81.7, 5.8, Poor, 0, Master, Good, 2, No
S1068, 20, Female, 4.9, 0.3, 2.7, Yes, 92.3, 6.2, Good, 0, Bachelor, Poor, 6, No
S1069, 22, Male, 6.8, 3.7, 1.8, No, 72.3, 7.5, Poor, 6, Master, Average, 5, No
S1070, 18, Female, 2.7, 1.7, 1.3, No, 95.5, 6.1, Poor, 2, Bachelor, Good, 2, Yes
S1071, 18, Female, 1.4, 3.4, 0.0, No, 89.9, 4.6, Fair, 0, High School, Poor, 10, Yes
S1072, 17, Male, 3.4, 0.1, 0.6, No, 77.7, 7.9, Fair, 1, High School, Average, 4, Yes
S1073, 18, Female, 7.4, 3.6, 3.9, No, 83.6, 5.5, Fair, 3, High School, Average, 7, Yes
S1074, 21, Female, 2.3, 1.0, 0.4, No, 100.0, 6.4, Fair, 6, None, Good, 1, No
S1075, 18, Female, 6.0, 3.4, 2.0, Yes, 92.3, 7.0, Fair, 0, Bachelor, Good, 9, Yes
S1076, 20, Male, 6.0, 2.5, 2.9, No, 85.1, 6.7, Poor, 5, Bachelor, Average, 10, Yes
S1077, 20, Female, 2.7, 1.4, 0.4, No, 82.6, 7.8, Fair, 1, Bachelor, Poor, 1, No
S1078, 23, Female, 4.4, 2.0, 2.0, Yes, 85.8, 7.1, Good, 4, Master, Good, 5, No
S1079, 20, Male, 5.9, 3.3, 2.8, Yes, 79.9, 5.5, Good, 3, Master, Average, 7, No
S1080, 23, Male, 2.9, 2.6, 1.8, No, 64.0, 9.1, Good, 6, High School, Good, 8, No
S1081, 20, Other, 3.2, 3.2, 5.0, No, 100.0, 6.7, Good, 5, High School, Poor, 2, No
S1082, 21, Female, 2.6, 4.9, 0.0, Yes, 86.6, 6.3, Fair, 6, High School, Poor, 4, No
S1083, 24, Male, 2.0, 0.6, 3.0, No, 89.0, 7.7, Poor, 6, High School, Good, 2, Yes
S1084, 23, Female, 2.5, 4.4, 1.6, No, 84.4, 6.8, Fair, 5, Bachelor, Average, 4, No
S1085, 19, Male, 1.7, 2.6, 2.6, No, 77.6, 7.0, Good, 4, Bachelor, Good, 6, No
S1086, 22, Male, 3.6, 1.4, 2.3, No, 83.1, 9.5, Good, 5, Bachelor, Poor, 6, No
S1087, 17, Male, 2.3, 0.9, 1.0, No, 69.0, 6.2, Fair, 1, Master, Average, 2, Yes
S1088, 20, Male, 3.9, 2.3, 2.1, No, 100.0, 6.1, Poor, 6, Bachelor, Good, 4, No
S1089, 18, Male, 1.2, 3.6, 0.0, No, 72.7, 6.6, Poor, 4, High School, Average, 4, Yes
S1090, 24, Male, 4.0, 2.3, 2.5, No, 74.7, 7.8, Fair, 6, Bachelor, Good, 1, No
S1091, 20, Female, 4.8, 4.3, 2.1, No, 80.6, 4.7, Fair, 5, High School, Average, 2, No
S1092, 18, Male, 0.5, 0.8, 2.5, Yes, 97.9, 4.1, Poor, 4, High School, Good, 3, No
S1093, 22, Male, 4.1, 2.5, 3.0, No, 85.1, 5.8, Good, 4, None, Good, 5, No
S1094, 22, Female, 5.3, 1.0, 2.2, No, 72.6, 4.5, Fair, 0, High School, Average, 8, No
S1095, 22, Male, 1.7, 2.9, 2.0, No, 97.5, 6.0, Good, 0, High School, Good, 6, No
S1096, 18, Female, 6.0, 3.6, 0.8, No, 92.3, 7.1, Good, 0, High School, Good, 3, No
S1097, 20, Male, 4.1, 2.0, 1.0, No, 90.4, 5.4, Good, 5, Bachelor, Average, 6, No
S1098, 22, Male, 2.4, 0.0, 3.1, No, 92.2, 4.8, Good, 3, Bachelor, Good, 7, Yes
S1099, 21, Male, 3.4, 2.7, 3.4, No, 100.0, 6.6, Good, 1, High School, Good, 6, No
S1100, 23, Male, 4.3, 3.0, 1.5, No, 100.0, 7.5, Good, 5, None, Average, 10, Yes
S1101, 18, Male, 3.6, 3.0, 1.9, No, 78.1, 4.5, Good, 6, Bachelor, Average, 6, No
S1102, 18, Male, 4.3, 4.0, 0.8, No, 100.0, 7.5, Fair, 0, None, Average, 1, No
S1103, 20, Male, 2.1, 1.2, 3.1, No, 88.8, 7.5, Good, 4, Master, Average, 3, No
S1104, 18, Male, 3.8, 3.3, 2.5, No, 90.0, 7.6, Good, 5, Bachelor, Good, 7, No
S1105, 18, Male, 1.4, 3.9, 3.9, Yes, 68.1, 8.0, Good, 4, High School, Average, 4, Yes
S1106, 22, Male, 3.3, 0.4, 0.8, No, 83.3, 9.1, Good, 6, High School, Good, 4, Yes
S1107, 20, Male, 2.1, 2.9, 1.4, No, 76.9, 6.1, Fair, 4, None, Average, 7, No
S1108, 22, Female, 2.4, 1.9, 2.1, No, 93.3, 6.6, Poor, 4, High School, Average, 9, Yes
S1109, 23, Female, 5.4, 2.4, 2.5, No, 95.7, 6.0, Fair, 2, High School, Good, 2, No
S1110, 24, Male, 5.1, 2.9, 1.6, No, 64.3, 6.5, Fair, 3, Bachelor, Average, 9, Yes
S1111, 23, Female, 4.4, 1.9, 0.8, No, 84.8, 8.3, Good, 1, High School, Average, 3, No
S1112, 24, Female, 1.9, 1.7, 2.8, No, 96.2, 4.9, Fair, 1, Bachelor, Poor, 6, Yes
S1113, 22, Male, 3.0, 2.5, 2.6, No, 83.1, 5.5, Fair, 0, Bachelor, Average, 4, No
S1114, 23, Female, 5.3, 1.2, 0.8, No, 92.3, 8.2, Fair, 2, High School, Average, 1, No
S1115, 20, Female, 3.7, 1.2, 3.3, No, 88.5, 7.7, Poor, 5, None, Good, 9, No
S1116, 17, Male, 7.0, 3.3, 3.1, No, 88.4, 6.1, Good, 5, None, Average, 6, Yes
S1117, 22, Male, 4.1, 1.1, 1.9, No, 82.3, 7.5, Good, 1, None, Good, 8, No
S1118, 24, Female, 3.8, 3.3, 1.9, No, 72.8, 6.9, Poor, 3, Bachelor, Good, 2, Yes
S1119, 21, Female, 3.0, 3.1, 2.4, Yes, 73.8, 8.3, Fair, 4, High School, Average, 7, No
S1120, 24, Male, 3.7, 0.4, 0.9, No, 92.1, 6.6, Fair, 6, Bachelor, Average, 6, No
S1121, 21, Male, 3.3, 1.7, 1.8, No, 85.2, 7.7, Poor, 0, High School, Good, 2, No
S1122, 18, Male, 4.6, 3.9, 0.0, No, 83.6, 9.7, Poor, 3, High School, Good, 2, No
S1123, 23, Female, 4.9, 1.3, 2.8, No, 80.8, 7.2, Good, 1, Bachelor, Average, 4, No
S1124, 21, Female, 2.3, 1.9, 0.1, No, 81.9, 6.6, Fair, 2, Bachelor, Average, 4, No
S1125, 24, Male, 1.5, 3.1, 3.5, No, 95.5, 7.4, Fair, 0, High School, Average, 3, No
S1126, 18, Male, 0.7, 3.4, 1.4, Yes, 81.6, 6.1, Poor, 1, High School, Poor, 8, No
S1127, 17, Female, 4.3, 2.2, 1.6, No, 71.6, 9.4, Good, 5, Bachelor, Good, 7, No
S1128, 20, Male, 1.8, 1.8, 1.1, No, 92.4, 6.7, Good, 0, High School, Good, 2, No
S1129, 20, Male, 0.3, 4.2, 1.5, No, 83.0, 6.2, Good, 1, High School, Average, 3, Yes
S1130, 20, Female, 4.1, 4.6, 3.4, No, 85.3, 5.5, Poor, 5, Bachelor, Good, 10, No
S1131, 21, Female, 7.2, 3.7, 0.0, No, 100.0, 7.8, Good, 6, High School, Good, 9, No
S1132, 17, Female, 3.5, 2.6, 3.2, Yes, 84.8, 7.5, Fair, 5, Bachelor, Average, 5, Yes
S1133, 21, Female, 4.8, 1.5, 2.2, No, 87.9, 5.9, Fair, 4, Bachelor, Poor, 2, Yes
S1134, 23, Male, 3.6, 1.5, 0.5, No, 73.2, 7.2, Fair, 2, Bachelor, Good, 3, No
S1135, 21, Male, 3.4, 3.1, 0.6, No, 82.8, 4.7, Fair, 4, Bachelor, Good, 8, No
S1136, 17, Female, 4.9, 3.0, 3.6, No, 91.1, 6.7, Good, 1, Bachelor, Good, 4, No
S1137, 17, Male, 3.1, 4.2, 0.8, No, 69.4, 7.0, Good, 6, Bachelor, Poor, 2, No
S1138, 23, Male, 3.9, 3.3, 0.5, No, 87.0, 8.5, Fair, 3, Master, Average, 2, No
S1139, 17, Male, 4.0, 0.7, 3.1, No, 86.0, 5.6, Good, 6, High School, Poor, 6, No
S1140, 24, Male, 2.5, 3.8, 2.2, No, 85.4, 5.0, Good, 6, High School, Good, 8, No
S1141, 17, Male, 5.0, 1.3, 0.8, No, 95.4, 5.4, Good, 6, Bachelor, Good, 7, No
S1142, 20, Male, 3.2, 2.0, 2.0, No, 88.3, 4.9, Fair, 4, Bachelor, Poor, 4, Yes
S1143, 24, Male, 2.4, 2.8, 0.7, No, 99.8, 8.1, Fair, 3, None, Good, 2, No
S1144, 24, Male, 4.3, 4.9, 3.0, No, 75.1, 8.4, Fair, 5, Master, Good, 9, Yes
S1145, 23, Female, 2.2, 6.2, 3.0, No, 86.4, 6.9, Good, 1, None, Good, 4, No
S1146, 19, Female, 3.5, 3.2, 2.4, No, 85.8, 8.0, Poor, 2, Bachelor, Good, 9, No
S1147, 19, Female, 3.5, 2.3, 2.2, No, 74.3, 6.7, Fair, 3, Bachelor, Poor, 5, Yes
S1148, 17, Female, 5.1, 3.1, 3.7, No, 94.6, 6.4, Fair, 1, Master, Good, 7, No
S1149, 24, Female, 4.2, 3.6, 1.8, Yes, 100.0, 6.1, Fair, 3, None, Poor, 5, No
S1150, 19, Male, 3.5, 2.1, 0.5, Yes, 84.8, 6.1, Good, 4, Bachelor, Average, 2, No
S1151, 19, Female, 4.7, 4.7, 2.3, No, 90.1, 4.6, Good, 1, High School, Good, 6, No
S1152, 17, Female, 5.6, 2.8, 4.1, No, 85.8, 6.8, Good, 4, High School, Good, 7, No
S1153, 19, Female, 4.3, 3.1, 0.7, No, 77.9, 6.5, Good, 0, None, Average, 6, No
S1154, 21, Male, 3.5, 3.3, 1.4, No, 66.8, 7.4, Fair, 1, Bachelor, Good, 3, No
S1155, 18, Male, 1.5, 3.0, 2.3, No, 77.9, 6.6, Fair, 3, High School, Good, 10, No
S1156, 23, Male, 1.9, 3.5, 1.7, Yes, 71.1, 6.3, Fair, 0, High School, Good, 8, No
S1157, 18, Male, 3.0, 1.8, 0.7, No, 100.0, 5.5, Poor, 4, Bachelor, Poor, 3, No
S1158, 17, Female, 2.6, 1.8, 3.0, No, 83.8, 6.6, Fair, 4, Bachelor, Good, 5, Yes
S1159, 20, Female, 3.2, 1.2, 4.4, No, 81.5, 7.4, Good, 3, Bachelor, Average, 9, No
S1160, 23, Male, 3.6, 3.0, 2.0, No, 93.9, 5.1, Fair, 0, Master, Average, 5, No
S1161, 17, Other, 4.3, 3.4, 0.8, No, 73.8, 6.6, Good, 6, High School, Average, 7, No
S1162, 24, Female, 3.4, 3.0, 0.1, No, 77.3, 6.8, Fair, 5, Master, Average, 7, No
S1163, 20, Male, 4.2, 4.5, 2.1, No, 85.7, 5.6, Poor, 2, Master, Good, 5, No
S1164, 18, Male, 3.6, 2.5, 3.0, No, 95.3, 5.8, Poor, 3, High School, Average, 2, Yes
S1165, 17, Male, 0.5, 3.3, 2.3, No, 90.0, 6.8, Fair, 4, High School, Good, 5, No
S1166, 24, Male, 2.1, 1.2, 1.8, No, 87.5, 5.1, Fair, 1, High School, Average, 7, No
S1167, 23, Male, 3.3, 2.0, 1.2, Yes, 85.8, 6.9, Poor, 0, High School, Good, 7, No
S1168, 23, Male, 1.7, 3.3, 0.6, No, 89.0, 5.4, Fair, 5, Bachelor, Good, 4, Yes
S1169, 22, Male, 4.4, 3.5, 2.7, Yes, 87.0, 7.8, Fair, 2, Bachelor, Good, 1, No
S1170, 24, Male, 5.8, 2.1, 2.8, No, 74.7, 9.3, Fair, 1, Bachelor, Good, 6, No
S1171, 21, Female, 5.3, 2.4, 0.1, No, 85.5, 5.5, Good, 0, Bachelor, Good, 3, Yes
S1172, 19, Male, 3.2, 0.7, 3.5, No, 74.3, 7.1, Good, 5, High School, Good, 5, No
S1173, 20, Female, 5.7, 2.1, 2.4, No, 85.8, 5.6, Fair, 3, Master, Good, 4, Yes
S1174, 24, Male, 3.7, 3.6, 3.3, Yes, 80.2, 7.7, Good, 5, High School, Poor, 2, No
S1175, 22, Other, 3.0, 3.2, 0.3, No, 100.0, 5.0, Good, 3, Master, Good, 7, No
S1176, 19, Male, 2.6, 3.1, 0.3, No, 84.6, 7.1, Good, 6, High School, Average, 5, Yes
S1177, 19, Male, 3.0, 2.6, 1.6, No, 71.0, 5.5, Fair, 0, Master, Average, 7, Yes
S1178, 17, Other, 2.9, 2.5, 2.4, Yes, 83.7, 6.3, Poor, 5, None, Good, 9, No
S1179, 19, Female, 3.8, 1.7, 3.8, No, 90.2, 5.3, Good, 2, High School, Average, 4, No
S1180, 21, Female, 3.7, 3.3, 2.6, Yes, 100.0, 7.5, Fair, 5, None, Good, 5, No
S1181, 23, Male, 3.5, 3.0, 1.5, Yes, 79.1, 5.5, Good, 0, Bachelor, Average, 9, No
S1182, 22, Male, 4.2, 3.1, 0.7, No, 69.2, 7.2, Good, 1, Master, Poor, 10, No
S1183, 19, Female, 5.3, 1.9, 3.2, No, 93.2, 6.1, Fair, 1, High School, Average, 4, Yes
S1184, 17, Female, 4.9, 0.0, 0.7, No, 71.2, 6.4, Fair, 5, Master, Poor, 5, No
S1185, 21, Female, 1.3, 3.8, 3.6, Yes, 80.6, 6.7, Fair, 5, Bachelor, Good, 5, No
S1186, 18, Female, 0.0, 1.9, 1.5, No, 82.4, 5.6, Fair, 3, Bachelor, Average, 8, No
S1187, 23, Male, 4.9, 1.5, 3.5, No, 84.3, 6.8, Fair, 0, Bachelor, Average, 4, No
S1188, 23, Female, 1.4, 3.3, 2.5, No, 91.9, 8.3, Fair, 3, High School, Poor, 4, Yes
S1189, 22, Male, 3.2, 2.0, 1.6, No, 78.2, 5.6, Fair, 2, High School, Average, 7, Yes
S1190, 23, Male, 1.7, 3.8, 1.2, No, 82.3, 7.9, Poor, 6, Master, Good, 5, No
S1191, 19, Male, 0.8, 3.2, 1.4, No, 84.9, 8.3, Good, 1, Master, Average, 6, No
S1192, 17, Female, 4.3, 3.3, 2.3, No, 86.5, 5.5, Poor, 4, Master, Good, 6, No
S1193, 23, Male, 4.6, 0.9, 1.9, No, 86.0, 4.8, Good, 4, Master, Good, 6, No
S1194, 23, Male, 2.6, 4.0, 1.1, No, 89.4, 6.9, Good, 0, High School, Good, 10, No
S1195, 18, Female, 0.0, 2.8, 1.6, No, 93.4, 5.8, Fair, 0, Bachelor, Good, 5, No
S1196, 18, Male, 2.7, 2.1, 1.9, No, 88.9, 8.7, Good, 4, High School, Poor, 5, No
S1197, 20, Female, 4.1, 2.7, 0.0, No, 89.5, 6.5, Fair, 0, Master, Average, 9, Yes
S1198, 21, Male, 1.3, 0.4, 2.3, Yes, 69.2, 5.5, Good, 1, High School, Good, 8, Yes
S1199, 19, Female, 3.8, 3.0, 0.7, No, 85.5, 5.1, Fair, 2, Bachelor, Good, 4, No
S1200, 23, Female, 3.5, 1.3, 0.5, No, 89.8, 7.8, Fair, 2, Bachelor, Good, 7, No
S1201, 24, Male, 4.4, 0.9, 0.0, No, 92.3, 5.8, Fair, 3, High School, Good, 8, No
S1202, 23, Male, 3.7, 0.7, 0.0, No, 78.1, 6.6, Fair, 1, None, Average, 9, No
S1203, 17, Male, 2.0, 3.8, 0.3, No, 78.4, 7.6, Fair, 6, Master, Poor, 5, No
S1204, 20, Male, 5.3, 1.7, 1.0, No, 79.3, 5.9, Fair, 0, Bachelor, Good, 3, Yes
S1205, 21, Other, 3.3, 4.3, 3.9, No, 90.4, 6.4, Fair, 0, High School, Good, 4, No
S1206, 24, Male, 3.5, 1.9, 1.2, No, 95.3, 6.5, Poor, 6, Bachelor, Average, 10, Yes
S1207, 20, Female, 2.1, 0.5, 2.0, No, 80.9, 7.3, Poor, 3, Bachelor, Good, 6, Yes
S1208, 22, Male, 2.8, 1.2, 2.2, Yes, 94.1, 7.2, Fair, 3, High School, Average, 10, No
S1209, 21, Female, 2.2, 4.0, 1.9, No, 86.2, 6.2, Poor, 0, High School, Average, 5, Yes
S1210, 23, Female, 3.2, 2.3, 1.7, Yes, 83.8, 6.6, Poor, 0, Master, Good, 9, No
S1211, 23, Female, 6.1, 1.8, 0.5, No, 82.9, 6.1, Good, 6, Bachelor, Good, 3, Yes
S1212, 21, Male, 1.4, 2.7, 3.4, No, 92.5, 4.7, Poor, 1, Bachelor, Average, 2, Yes
S1213, 23, Male, 1.1, 3.1, 3.8, No, 88.3, 6.8, Good, 6, Bachelor, Poor, 6, No
S1214, 19, Male, 5.7, 3.8, 0.0, No, 100.0, 8.8, Fair, 3, None, Average, 7, No
S1215, 21, Female, 3.2, 4.2, 0.7, No, 76.5, 5.4, Good, 6, High School, Good, 5, Yes
S1216, 20, Female, 2.5, 2.1, 1.5, No, 90.2, 5.6, Fair, 6, High School, Average, 1, Yes
S1217, 21, Other, 5.1, 0.9, 0.7, No, 79.7, 5.5, Fair, 6, High School, Good, 3, No
S1218, 24, Male, 2.6, 2.0, 2.4, No, 76.3, 7.4, Fair, 1, Bachelor, Good, 3, No
S1219, 23, Female, 6.2, 2.8, 1.0, No, 84.9, 7.0, Fair, 5, Master, Good, 4, No
S1220, 19, Female, 4.5, 1.3, 4.2, No, 86.4, 6.3, Fair, 0, High School, Average, 10, No
S1221, 19, Male, 2.8, 1.4, 3.1, No, 100.0, 5.4, Poor, 4, High School, Good, 6, Yes
S1222, 22, Male, 6.7, 2.9, 2.0, No, 83.2, 6.6, Good, 6, Bachelor, Average, 5, No
S1223, 20, Female, 2.6, 2.4, 2.9, No, 73.7, 4.6, Fair, 4, Master, Average, 1, No
S1224, 18, Female, 4.6, 2.5, 3.0, No, 87.7, 6.7, Fair, 5, Bachelor, Poor, 6, No
S1225, 18, Female, 3.9, 1.6, 1.2, No, 64.3, 7.5, Good, 0, Master, Average, 9, Yes
S1226, 21, Male, 5.5, 2.2, 0.9, Yes, 84.1, 5.0, Fair, 3, Bachelor, Good, 1, No
S1227, 22, Female, 5.8, 1.4, 1.9, No, 85.2, 4.7, Good, 4, Bachelor, Average, 8, Yes
S1228, 17, Male, 3.5, 3.6, 2.7, No, 92.9, 8.4, Fair, 3, High School, Average, 8, Yes
S1229, 21, Male, 2.4, 3.7, 2.0, No, 94.7, 5.8, Good, 4, High School, Good, 3, Yes
S1230, 22, Male, 4.2, 0.3, 0.1, No, 80.0, 7.9, Poor, 3, High School, Poor, 9, Yes
S1231, 20, Female, 2.5, 1.4, 0.9, No, 83.5, 6.3, Good, 6, Bachelor, Good, 8, No
S1232, 20, Female, 6.5, 0.7, 1.7, No, 77.3, 6.3, Good, 4, Master, Average, 3, No
S1233, 20, Female, 3.7, 1.7, 1.7, No, 73.7, 7.0, Fair, 3, Master, Poor, 10, Yes
S1234, 20, Male, 3.0, 2.4, 4.0, No, 88.1, 5.4, Poor, 5, High School, Good, 5, No
S1235, 20, Female, 3.8, 0.8, 0.3, No, 72.3, 6.7, Fair, 1, High School, Poor, 3, No
S1236, 22, Male, 1.5, 1.4, 2.4, No, 80.9, 6.0, Good, 3, High School, Good, 5, No
S1237, 22, Female, 2.0, 1.3, 3.4, Yes, 75.0, 4.9, Fair, 1, High School, Average, 9, No
S1238, 19, Male, 5.3, 2.7, 4.3, No, 90.5, 6.9, Fair, 1, Bachelor, Poor, 4, Yes
S1239, 24, Male, 2.5, 2.6, 1.4, No, 100.0, 6.2, Poor, 0, Master, Poor, 6, No
S1240, 18, Male, 1.9, 1.6, 2.3, No, 72.0, 6.3, Fair, 6, Master, Poor, 3, No
S1241, 23, Male, 4.3, 2.7, 2.4, Yes, 66.5, 5.0, Fair, 5, Bachelor, Poor, 3, No
S1242, 20, Female, 5.3, 1.8, 2.0, No, 83.8, 8.4, Good, 1, Bachelor, Good, 5, No
